ID,name,type,deaths_2020,deaths_2021,deaths_2022,deaths_2023,deaths_2024
HF0002,Buikwe St. Charles Lwanga HOSPITAL,General Hospital,1,0,3,0,1
HF0007,Kawolo HOSPITAL,General Hospital,6,2,2,2,0
HF0008,Lugazi Scoul HOSPITAL,General Hospital,1,0,0,0,0
HF0019,Nkokonjeru  HOSPITAL,General Hospital,0,0,0,0,0
HF0022,St. Francis Nyenga HOSPITAL,General Hospital,2,2,0,0,0
HF0039,Butenga HC IV,HC IV,0,0,0,0,0
HF0052,Gombe HOSPITAL,General Hospital,0,2,0,1,1
HF0083,Maddu HC IV,HC IV,0,0,0,0,0
HF0092,Bukulula HC IV,HC IV,0,0,0,0,0
HF0093,Villa Maria HOSPITAL,General Hospital,2,0,1,3,1
HF0103,St. Joseph of the Good Shephard Kyamulibwa Ngo HC IV,HC IV,0,0,0,0,0
HF0118,Kololo HOSPITAL,General Hospital,6,2,2,2,0
HF0202,International Hospital Kampala (IHK),General Hospital,0,0,0,0,0
HF0203,Kibuli HOSPITAL,General Hospital,0,1,0,0,0
HF0204,St. Francis Nsambya HOSPITAL,General Hospital,2,2,5,2,1
HF0216,Kiruddu,NR Hospital,0,0,0,0,0
HF0220,Mulago National Hospital- Old NATIONAL REFERAL HOSPITAL,NR Hospital,0,0,0,0,0
HF0252,Kadic HOSPITAL,General Hospital,1,0,3,3,3
HF0253,Murchison Bay  HOSPITAL,General Hospital,0,0,0,0,0
HF0262,Benedict Medical centre  HC IV,HC IV,0,0,0,0,0
HF0263,Butabika NATIONAL REFERAL HOSPITAL,NR Hospital,6,1,3,1,2
HF0264,Naguru  Hospital  - China Uganda Friendship,RR Hospital,0,0,0,0,0
HF0281,Lubaga HOSPITAL,General Hospital,0,0,1,3,0
HF0282,Mengo HOSPITAL,General Hospital,0,1,0,1,1
HF0283,Namungoona Orthodox Hospital HC III,General Hospital,0,0,0,0,0
HF0290,Bbaale HC IV,HC IV,0,0,0,0,0
HF0298,Kangulumira HC IV,HC IV,0,0,0,0,0
HF0304,Kayunga Hospital,General Hospital,1,12,0,3,1
HF0316,Bukomero HC IV,HC IV,0,0,0,0,0
HF0327,Kiboga HOSPITAL,General Hospital,0,0,1,3,0
HF0354,Ntwetwe HC IV,HC IV,0,0,0,0,0
HF0362,Bombo General Military HOSPITAL,General Hospital,0,0,1,3,1
HF0376,Kalagala HC IV,HC IV,0,0,0,0,0
HF0401,Luwero HC IV,HC IV,0,0,0,0,0
HF0402,Bishop Asili Ceaser HC IV,HC IV,0,0,0,0,0
HF0411,Nyimbwa HC IV,HC IV,0,0,0,0,0
HF0429,Kiwangala HC IV,HC IV,0,0,0,0,0
HF0438,Kyazanga HC IV,HC IV,0,0,0,0,0
HF0446,Lwengo HC IV,HC IV,0,0,0,0,0
HF0465,Lyantonde HOSPITAL,General Hospital,0,0,0,0,0
HF0494,Masaka REGIONAL REF HOSPITAL,RR Hospital,0,3,13,8,8
HF0499,Kyannamukaaka HC IV,HC IV,0,0,0,0,0
HF0505,Kiyumba HC IV,HC IV,0,0,0,0,0
HF0506,St. Joseph Kitovu HOSPITAL,General Hospital,1,0,0,0,0
HF0537,Mwera HC IV,HC IV,0,0,0,0,0
HF0540,Kyantungo HC IV,HC IV,0,0,0,0,0
HF0550,Mityana HOSPITAL,General Hospital,1,0,0,5,1
HF0560,Ssekanyonyi HC IV,HC IV,0,0,0,0,0
HF0583,Mpigi   HC IV,HC IV,0,0,0,0,0
HF0588,Nkozi HOSPITAL,General Hospital,1,1,0,1,1
HF0608,Kassanda HC IV,HC IV,0,0,0,0,0
HF0615,Kiganda HC IV,HC IV,0,0,0,0,0
HF0650,Mubende RR HOSPITAL,RR Hospital,0,0,0,0,0
HF0678,Mukono  T.C. HC IV,HC IV,0,0,0,0,0
HF0679,Mukono CoU HC IV,HC IV,0,0,0,0,0
HF0680,St. Francis HOSPITAL Naggalama,General Hospital,2,2,0,0,1
HF0698,Kojja HC IV,HC IV,0,0,0,0,0
HF0715,Kiwoko HOSPITAL,General Hospital,6,2,2,2,0
HF0718,Nakaseke HOSPITAL,General Hospital,1,1,2,2,0
HF0720,Ngoma HC IV,HC IV,0,0,0,0,0
HF0724,Semuto HC IV,HC IV,0,0,0,0,0
HF0732,St. Franciscan HC IV,HC IV,0,0,0,0,0
HF0741,Nakasongola Military HOSPITAL,General Hospital,0,0,0,0,0
HF0752,Nakasongola HC IV,HC IV,1,0,0,0,1
HF0773,Kakuuto HC IV,HC IV,0,0,0,0,0
HF0777,Kalisizo HOSPITAL,General Hospital,1,1,2,0,1
HF0854,Bamu  HOSPITAL,General Hospital,0,0,0,3,0
HF0859,Ntuusi HC IV,HC IV,0,0,0,0,0
HF0860,Ssembabule HC IV,HC IV,0,0,0,0,0
HF0873,Buwambo HC IV,HC IV,0,0,0,0,0
HF0883,Luwunga Barracks HC IV,HC IV,0,0,0,0,0
HF0887,Kisubi HOSPITAL,General Hospital,0,1,1,0,0
HF0889,Uganda Martyrs HOSPITAL,General Hospital,0,0,0,0,0
HF0919,Namayumba HC IV,HC IV,0,0,0,0,0
HF0921,Saidina Abubakar Islamic HOSPITAL,General Hospital,0,0,0,0,0
HF0926,Kasangati HC IV,HC IV,0,0,0,0,0
HF0940,Mildmay Uganda HOSPITAL,General Hospital,0,0,0,0,0
HF0948,Ndejje HC IV,HC IV,0,0,0,0,0
HF0957,Wakiso HC IV,HC IV,0,0,0,0,0
HF0966,Amuria HC IV,HC IV,0,0,0,0,0
HF0975,Kapelebyong HC IV,HC IV,0,0,0,1,4
HF0998,Budaka HC IV,HC IV,0,0,0,0,0
HF1015,Bududa HOSPITAL,General Hospital,0,3,2,0,4
HF1032,Bugiri HOSPITAL,General Hospital,1,0,1,5,2
HF1063,Nankoma HC IV,HC IV,0,0,0,0,0
HF1065,Bukedea HC IV,HC IV,0,0,0,0,0
HF1092,Muyembe HC IV,HC IV,0,0,0,0,0
HF1113,Dabani HOSPITAL,General Hospital,1,1,0,2,1
HF1125,Busolwe HOSPITAL,General Hospital,1,2,2,2,4
HF1130,Kabasa Memorial HOSPITAL,General Hospital,0,0,0,0,0
HF1147,Kidera HC IV,HC IV,0,0,0,0,0
HF1165,Busesa HC IV,HC IV,0,0,0,0,0
HF1166,Iganga HOSPITAL,General Hospital,1,0,0,3,1
HF1180,Bugono HC IV,HC IV,0,0,0,0,0
HF1207,Budondo HC IV,HC IV,0,0,0,0,0
HF1209,Bugembe HC IV,HC IV,0,0,0,0,0
HF1234,Buwenge NGO Hospital,General Hospital,0,0,0,1,2
HF1237,Buwenge HC IV,HC IV,0,0,0,0,0
HF1246,Walukuba HC IV,HC IV,0,0,0,0,0
HF1249,Mpumudde HC IV,HC IV,0,0,0,0,0
HF1250,Kakira Worker's HOSPITAL,General Hospital,0,0,0,0,0
HF1269,Kaberamaido HC IV,HC IV,0,0,0,0,0
HF1276,Lwala HOSPITAL,General Hospital,4,0,2,5,0
HF1281,Bumanya HC IV,HC IV,0,0,0,0,0
HF1312,Kamuli HOSPITAL,General Hospital,0,0,0,0,0
HF1313,Kamuli Mission Hospital,General Hospital,1,2,0,1,0
HF1322,Nankandulo HC IV,HC IV,0,0,0,0,0
HF1340,Namwendwa HC IV,HC IV,0,0,0,0,0
HF1354,Kapchorwa HOSPITAL,General Hospital,1,0,0,0,0
HF1375,Katakwi General Hospital,General Hospital,0,0,1,0,0
HF1390,Toroma HC IV,HC IV,0,0,0,0,0
HF1405,Kibuku HC IV,HC IV,0,0,0,0,0
HF1408,Atutur HOSPITAL,General Hospital,1,0,5,7,8
HF1419,Kumi HC IV,HC IV,0,0,0,0,0
HF1421,Kadami HOSPITAL,General Hospital,1,0,0,2,1
HF1431,Kumi NGO HOSPITAL,General Hospital,6,2,0,1,1
HF1438,Kaproron HC IV,HC IV,0,0,0,0,0
HF1475,Kiyunga HC IV,HC IV,0,0,0,0,0
HF1483,Bugobero HC IV,HC IV,0,0,0,0,0
HF1492,Bubulo HC IV,HC IV,0,0,0,0,0
HF1515,Kigandalo HC IV,HC IV,0,0,0,0,0
HF1524,Bufumbo HC IV,HC IV,0,0,0,0,0
HF1530,Busiu HC IV,HC IV,0,0,0,0,0
