outcome,model,term,beta_mean,beta_sd,beta_q025,beta_q50,beta_q975,rr_mean,rr_q025,rr_q975,term_label,direction,credible_support,pct_change
SCD admissions,Joint-service model,corisk_z,0.8714,0.6193,-0.3444,0.8711,2.0887,2.3902,0.7086,8.0743,Co-risk score (standardised),Positive association,Credible interval includes null,139
SCD admissions,Joint-service model,access_nbs,0.9428,0.5227,-0.0816,0.9419,1.9722,2.5672,0.9217,7.1865,Newborn screening available,Positive association,Credible interval includes null,156.7
SCD admissions,Joint-service model,access_hu,0.3047,0.6145,-0.9015,0.3043,1.5131,1.3562,0.406,4.5408,Hydroxyurea available,Positive association,Credible interval includes null,35.6
SCD admissions,Joint-service model,access_tr,4.6647,0.5804,3.5371,4.6603,5.8171,106.1315,34.367,335.9946,Transfusion available,Positive association,Credible positive association,10513.1
SCD admissions,Joint-service model,access_cl,-0.053900000000000003,0.5641,-1.1644,-0.0531,1.0519,0.9475,0.3121,2.863,Specialised clinic available,Negative association,Credible interval includes null,-5.2
SCD deaths,Joint-service model,corisk_z,0.4881,0.5091,-0.5103,0.4873,1.4912,1.6293,0.6003,4.4424,Co-risk score (standardised),Positive association,Credible interval includes null,62.9
SCD deaths,Joint-service model,access_nbs,0.8758,0.4274,0.0423,0.8736,1.7223,2.4009,1.0432,5.5976,Newborn screening available,Positive association,Credible positive association,140.1
SCD deaths,Joint-service model,access_hu,-0.1898,0.4906,-1.1568,-0.189,0.7722,0.8271,0.3145,2.1646,Hydroxyurea available,Negative association,Credible interval includes null,-17.3
SCD deaths,Joint-service model,access_tr,3.983,0.6857,2.6528,3.977,5.3477,53.6802,14.194,210.1349,Transfusion available,Positive association,Credible positive association,5268
SCD deaths,Joint-service model,access_cl,0.6871,0.4648,-0.2249,0.6865,1.6027,1.988,0.7986,4.9662,Specialised clinic available,Positive association,Credible interval includes null,98.8
