outcome,model,term,beta_mean,beta_sd,beta_q025,beta_q50,beta_q975,rr_mean,rr_q025,rr_q975,term_label
SCD admissions,"Admissions, Newborn screening availability",corisk_z,1.6478,0.6921,0.2917,1.6466,3.0106,5.1954,1.3387,20.3004,Co-risk score (standardised)
SCD admissions,"Admissions, Newborn screening availability",access_nbs,1.7004,0.5118,0.6986,1.6992,2.7093,5.4764,2.011,15.0193,Newborn screening available
SCD deaths,"Deaths, Newborn screening availability",corisk_z,0.7817,0.5555,-0.3054,0.7799,1.8785,2.1851,0.7368,6.5439,Co-risk score (standardised)
SCD deaths,"Deaths, Newborn screening availability",access_nbs,1.4511,0.4076,0.6587,1.448,2.2609,4.2677,1.9322,9.5917,Newborn screening available
SCD admissions,"Admissions, Hydroxyurea availability",corisk_z,1.5959,0.6983,0.2272,1.5948,2.9705,4.9326,1.2551,19.5026,Co-risk score (standardised)
SCD admissions,"Admissions, Hydroxyurea availability",access_hu,0.9916,0.5699,-0.1266,0.9912,2.1122,2.6956,0.8811,8.266,Hydroxyurea available
SCD deaths,"Deaths, Hydroxyurea availability",corisk_z,0.6743,0.5638,-0.4294,0.6726,1.7871,1.9626,0.6509,5.9722,Co-risk score (standardised)
SCD deaths,"Deaths, Hydroxyurea availability",access_hu,0.7595,0.4503,-0.1227,0.7584,1.6478,2.1372,0.8846,5.1957,Hydroxyurea available
SCD admissions,"Admissions, Transfusion availability",corisk_z,0.769,0.6148,-0.4379,0.7687,1.9776,2.1575,0.6454,7.2253,Co-risk score (standardised)
SCD admissions,"Admissions, Transfusion availability",access_tr,4.8993,0.577,3.7784,4.8951,6.0446,134.201,43.7444,421.8449,Transfusion available
SCD deaths,"Deaths, Transfusion availability",corisk_z,0.2178,0.5146,-0.7928,0.2175,1.2305,1.2434,0.4526,3.4231,Co-risk score (standardised)
SCD deaths,"Deaths, Transfusion availability",access_tr,4.113,0.6823,2.7889,4.1071,5.4703,61.1286,16.2636,237.5429,Transfusion available
SCD admissions,"Admissions, Specialised clinic availability",corisk_z,1.724,0.7026,0.3469,1.723,3.1071,5.6072,1.4147,22.356,Co-risk score (standardised)
SCD admissions,"Admissions, Specialised clinic availability",access_cl,0.9718,0.48,0.0292,0.9718,1.9149,2.6428,1.0297,6.7865,Specialised clinic available
SCD deaths,"Deaths, Specialised clinic availability",corisk_z,0.8927,0.549,-0.1809,0.8908,1.9772,2.4417,0.8345,7.2227,Co-risk score (standardised)
SCD deaths,"Deaths, Specialised clinic availability",access_cl,1.2772,0.3771,0.5411,1.2754,2.0234,3.5866,1.7179,7.5644,Specialised clinic available
