subregion,n_catchments,total_population,pct_national_population,total_scd_admissions,pct_national_admissions,total_scd_deaths,pct_national_deaths,mean_corisk,pw_mean_corisk,mean_service_deficit,pw_mean_service_deficit,mean_gap,pw_mean_gap,mean_oe_admissions,mean_oe_deaths,hidden_burden_catchments,pct_hidden_burden_catchments,top20_priority_catchments,pct_top20_priority_catchments,mean_priority_score,pw_mean_priority_score,mean_priority_robustness
LANGO,14,1814676.770930815,0.04489470535116413,6977,0.10603343465045592,45,0.04455445544554455,0.8311527877074307,0.8349615824177581,0.6428571428571429,0.6480053593013533,0.47400993056457363,0.4829669417191114,43486.34216071627,28285.220440655696,7,0.5,8,0.5714285714285714,0.6633044687947168,0.6673351238049712,3.142857142857143
TESO,18,2047084.8894081935,0.05064443123480369,8188,0.12443768996960486,116,0.11485148514851486,0.7164752223727583,0.7160606607763029,0.6805555555555556,0.7070711729480487,0.39703077792831387,0.42313183372435165,51320.93924504724,35471.872163649976,9,0.5,8,0.4444444444444444,0.6286638503361974,0.6404093252671373,2.4444444444444446
ACHOLI,15,1225288.7727604697,0.030313375530207867,10073,0.15308510638297873,111,0.1099009900990099,0.8070530305348278,0.8263316390447423,0.6666666666666666,0.5802193263508686,0.4737196972014944,0.4065509653956108,51468.260890715515,40244.035186679444,10,0.6666666666666666,10,0.6666666666666666,0.6631738639096005,0.6329479345333446,3.6666666666666665
KARAMOJA,7,321845.0286949109,0.007962375428756656,1140,0.017325227963525838,32,0.031683168316831684,0.5722728506137637,0.5969660702328524,0.75,0.8070384352248409,0.32227285061376365,0.4040045054576933,14513.25925162164,9530.317653533226,3,0.42857142857142855,2,0.2857142857142857,0.5950227837291611,0.6318020279341409,1.8571428571428572
BUSOGA,21,4208739.285722487,0.10412328694517896,1931,0.029346504559270518,21,0.020792079207920793,0.7507362607685707,0.7661265322474561,0.6904761904761905,0.6075009114268702,0.4412124512447612,0.37362744367432643,71105.70618621654,36820.215359727335,14,0.6666666666666666,13,0.6190476190476191,0.6485456030667401,0.6181323496581397,3.142857142857143
BUKEDI,15,2327938.887473438,0.05759269755518427,5656,0.08595744680851064,57,0.05643564356435644,0.6472515107141509,0.6672567809221391,0.6166666666666667,0.5918609733592143,0.2639181773808175,0.2591177542813535,84520.34524443107,48992.61439990681,8,0.5333333333333333,5,0.3333333333333333,0.5687631799495342,0.5666029894699736,1.8
BUGISU_SEBEI,12,2395286.5012453953,0.059258862750457664,250,0.003799392097264438,82,0.08118811881188119,0.44946642288994765,0.47239325094334483,0.7916666666666666,0.7289481427523435,0.2411330895566143,0.20134139369568835,57091.41043459105,37728.85741018373,4,0.3333333333333333,1,0.08333333333333333,0.5585098903699137,0.540603627193402,0.6666666666666666
BUNYORO,14,3258405.596160394,0.08061223987518731,3758,0.05711246200607903,113,0.11188118811881188,0.4976380998927999,0.4606277636596025,0.7857142857142857,0.7402435523351403,0.28335238560708564,0.20087131599474273,84409.00424500962,66730.03529066105,5,0.35714285714285715,3,0.21428571428571427,0.5775085735656647,0.5403920922234499,0.7142857142857143
WEST NILE,15,2989930.3440537024,0.07397022101514154,5788,0.08796352583586627,77,0.07623762376237624,0.442057451302214,0.41487843465425617,0.7333333333333333,0.7508864043806613,0.1753907846355474,0.16576483903491745,153187.70406649177,85318.52055227531,3,0.2,1,0.06666666666666667,0.5289258531313966,0.5245941775914272,0.3333333333333333
CENTRAL II,30,3045491.5972408545,0.07534479423431553,4423,0.06721884498480243,75,0.07425742574257425,0.5086554884192287,0.48903634154790426,0.6666666666666666,0.6438028033083315,0.1753221550858954,0.1328391448562358,46463.79524384059,25494.196095118812,9,0.3,5,0.16666666666666666,0.5288949699584274,0.509777615240848,0.8
GREATER KAMPALA,26,6349048.290631148,0.1570740623532591,7510,0.11413373860182371,62,0.061386138613861385,0.42743402539504366,0.4239581986577154,0.7115384615384616,0.6778109925649038,0.13897248693350522,0.1017691912226193,164187.41693612013,57027.417592842954,9,0.34615384615384615,0,0,0.5125376191496376,0.4957961360619657,0.15384615384615385
TORO,21,3355580.0649698013,0.0830163149230078,3429,0.052112462006079024,77,0.07623762376237624,0.26285265816558,0.2660172762715561,0.8095238095238095,0.8143759246676315,0.07237646768938955,0.0803932009391876,59217.17350934262,39024.575737006955,2,0.09523809523809523,0,0,0.4825694105375407,0.4861769404548227,0
ANKOLE,34,3078975.597651244,0.07617318106137104,1765,0.02682370820668693,67,0.06633663366336634,0.08691391956072404,0.089032307754222,0.8823529411764706,0.9079236936536714,-0.030733139262805374,-0.0030439985921066363,22564.216604834834,12858.80611139015,3,0.08823529411764706,0,0,0.43617008860242423,0.4486302007351166,0
CENTRAL I,21,2522034.3437939454,0.06239457657909401,3963,0.06022796352583586,56,0.055445544554455446,0.31831912009260216,0.31350307993558774,0.6547619047619048,0.6677752394407928,-0.02691897514549305,-0.018721680623619636,46145.879879446045,28831.897411256017,2,0.09523809523809523,0,0,0.4378864612217205,0.4415752437480049,0
KIGEZI,17,1480404.1963620675,0.03662487516287045,949,0.014422492401215806,19,0.01881188118811881,0.08475164373461706,0.08028744055647397,0.8382352941176471,0.8425489402692843,-0.07701306214773589,-0.07716361917424172,34780.83081174884,12556.363473130128,2,0.11764705882352941,0,0,0.41534412207416344,0.4152763714037698,0
