subregion,n_catchments,total_population,pct_national_population,pw_mean_corisk,pw_mean_service_deficit,pw_mean_gap,pw_mean_priority_score,hidden_burden_catchments,pct_hidden_burden_catchments,top20_priority_catchments,pct_top20_priority_catchments
LANGO,14,1814676.770930815,0.04489470535116413,0.8349615824177581,0.6480053593013533,0.4829669417191114,0.6673351238049712,7,0.5,8,0.5714285714285714
TESO,18,2047084.8894081935,0.05064443123480369,0.7160606607763029,0.7070711729480487,0.42313183372435165,0.6404093252671373,9,0.5,8,0.4444444444444444
ACHOLI,15,1225288.7727604697,0.030313375530207867,0.8263316390447423,0.5802193263508686,0.4065509653956108,0.6329479345333446,10,0.6666666666666666,10,0.6666666666666666
KARAMOJA,7,321845.0286949109,0.007962375428756656,0.5969660702328524,0.8070384352248409,0.4040045054576933,0.6318020279341409,3,0.42857142857142855,2,0.2857142857142857
BUSOGA,21,4208739.285722487,0.10412328694517896,0.7661265322474561,0.6075009114268702,0.37362744367432643,0.6181323496581397,14,0.6666666666666666,13,0.6190476190476191
BUKEDI,15,2327938.887473438,0.05759269755518427,0.6672567809221391,0.5918609733592143,0.2591177542813535,0.5666029894699736,8,0.5333333333333333,5,0.3333333333333333
BUGISU_SEBEI,12,2395286.5012453953,0.059258862750457664,0.47239325094334483,0.7289481427523435,0.20134139369568835,0.540603627193402,4,0.3333333333333333,1,0.08333333333333333
BUNYORO,14,3258405.596160394,0.08061223987518731,0.4606277636596025,0.7402435523351403,0.20087131599474273,0.5403920922234499,5,0.35714285714285715,3,0.21428571428571427
WEST NILE,15,2989930.3440537024,0.07397022101514154,0.41487843465425617,0.7508864043806613,0.16576483903491745,0.5245941775914272,3,0.2,1,0.06666666666666667
CENTRAL II,30,3045491.5972408545,0.07534479423431553,0.48903634154790426,0.6438028033083315,0.1328391448562358,0.509777615240848,9,0.3,5,0.16666666666666666
GREATER KAMPALA,26,6349048.290631148,0.1570740623532591,0.4239581986577154,0.6778109925649038,0.1017691912226193,0.4957961360619657,9,0.34615384615384615,0,0
TORO,21,3355580.0649698013,0.0830163149230078,0.2660172762715561,0.8143759246676315,0.0803932009391876,0.4861769404548227,2,0.09523809523809523,0,0
ANKOLE,34,3078975.597651244,0.07617318106137104,0.089032307754222,0.9079236936536714,-0.0030439985921066363,0.4486302007351166,3,0.08823529411764706,0,0
CENTRAL I,21,2522034.3437939454,0.06239457657909401,0.31350307993558774,0.6677752394407928,-0.018721680623619636,0.4415752437480049,2,0.09523809523809523,0,0
KIGEZI,17,1480404.1963620675,0.03662487516287045,0.08028744055647397,0.8425489402692843,-0.07716361917424172,0.4152763714037698,2,0.11764705882352941,0,0
