catchment_poly_id,region,observed,expected,oe_ratio,corisk_score,service_deficit_std
239,NA,25,5.911230534792671e-5,422923.78639021976,0.37746268205805505,0
22,NA,4,1.1315502870209577e-5,353497.3253845249,0.38964358374032326,0.25
91,NA,5,1.705537775741361e-5,293162.6652377492,0.7739129867814507,0
192,NA,2,7.023283916438901e-6,284767.0724685844,0.3488464859547361,0.75
82,NA,9,3.1624533583462585e-5,284589.17745766754,0.6912720913864463,0
70,NA,2,7.075352523682935e-6,282671.4277918324,0.3943546028442914,0.25
252,NA,7,2.556411289818527e-5,273821.35370310117,0.3068421886190995,0.75
154,NA,16,5.868491130853559e-5,272642.48412816186,0.395702764566417,0.75
129,NA,11,4.093263691164102e-5,268734.21381928265,0.7048884198048531,0.75
236,NA,22,8.55765053125332e-5,257079.90668296156,0.18271785566635432,0.25
136,NA,61,2.460922743412661e-4,247874.5022097233,0.725504935166519,0.75
81,NA,9,3.679134384335558e-5,244622.7579595567,0.4426730586255531,0.25
246,NA,19,8.335051143509339e-5,227953.01039989007,0.7269579920735096,0.5
164,NA,11,5.5495841335033315e-5,198213.05048052204,0.8871008412494894,0.75
86,NA,5,2.575061456745459e-5,194170.12308200778,0.8081666786047541,0
162,NA,74,4.113911970119264e-4,179877.45128599508,0.8171083148679397,0.75
23,NA,3,1.7366961657700136e-5,172741.78748876692,0.3895396481681267,0.25
262,NA,4,2.355796203303919e-5,169793.97430007503,0.09392223626381152,0.75
17,NA,10,5.9144943678570855e-5,169076.16066634547,0.40837933753220856,0
64,NA,5,2.989754791146229e-5,167237.79538063964,0.31849615156599,0
27,NA,17,1.0188532009586708e-4,166854.26304794615,0.7094329884906441,0
12,NA,12,7.415311734337461e-5,161827.3166377161,0.4051272251556176,0.25
177,NA,3,1.961773636480424e-5,152922.84207581845,0.8322656477797696,0.75
169,NA,12,7.915524289376326e-5,151600.82341109833,0.3437722571991669,0.5
155,NA,6,3.993026014418764e-5,150261.98122261363,0.3812937375608144,0.75
54,NA,5,3.443706795812322e-5,145192.38415071194,0.5759962417359408,0.75
87,NA,11,7.74694443173201e-5,141991.46640245995,0.6446735567641388,0
46,NA,7,5.411878657157532e-5,129345.10256881098,0.36837700102106263,0.5
40,NA,32,2.5699464160336644e-4,124516.2148142657,0.32426629303287496,0.75
184,NA,7,5.655684269808299e-5,123769.28530766918,0.5877947583587221,0.75
145,NA,11,8.994908128540013e-5,122291.4102379547,0.4252374245419397,0.75
100,NA,11,9.047625081931561e-5,121578.86628135601,0.6096788188952518,0.5
15,NA,12,9.900618349470292e-5,121204.55083133298,0.3946875118884251,0.25
121,NA,72,6.032344517510415e-4,119356.57817785717,0.519848949226962,0.75
207,NA,53,4.7418083324946714e-4,111771.7045558369,0.43215956692693186,0.75
95,NA,3,2.9453716100581723e-5,101854.7197832449,0.7615150963173326,0.75
167,NA,5,4.9888103903651444e-5,100224.29414548338,0.7760004530918723,0
186,NA,4,4.049040030719598e-5,98788.84796525752,0.80247187241654,0
103,NA,4,4.272684425904308e-5,93617.96007561231,0.8217237431650826,0.25
175,NA,26,2.8923824046734096e-4,89891.29500300554,0.8514082845107305,0.75
218,NA,1,1.1186596374257387e-5,89392.6951991583,0.0030050884419998126,0.75
31,NA,5,5.6269913949315324e-5,88857.43106882498,0.47356861751537593,0.75
106,NA,1,1.1265453737320787e-5,88766.95278479086,0.2883952021153512,0.75
254,NA,6,6.98121876193981e-5,85944.87874682834,0.5884775795451633,0.75
153,NA,12,1.3984172805561786e-4,85811.29657685122,0.8420417645722882,0
196,NA,10,1.167854378783201e-4,85627.11397647965,0.6935703219489189,0
7,NA,4,4.6964051597338814e-5,85171.52724162873,0.34946428527987194,0.5
29,NA,4,5.172205013669508e-5,77336.45494384866,0.4074025333141448,0.25
49,NA,4,5.386893734545597e-5,74254.2956499849,0.33558627588818124,0.5
248,NA,12,1.62239871373039e-4,73964.55568192813,0.16301385755026115,0.5
