catchment_poly_id,region,overall_priority_rank,overall_priority_score,corisk_score,service_deficit_std,rr_admissions,rr_deaths,scd_admissions,scd_deaths
192,NA,169,0.49448091868083893,0.3488464859547361,0.75,2.141584315723667e-9,1.2076367400598782e-11,724,2
252,NA,194,0.4755789848838388,0.3068421886190995,0.75,9.148176820224592e-10,5.243989835245234e-11,217,7
212,NA,215,0.41921272107315743,0.1815838245995375,0.75,5.99334389283557e-11,3.365549162077142e-11,1,0
265,NA,225,0.3761174514358216,0.08581655873135069,0.75,1.116394462314777e-10,6.713763746037417e-11,0,0
198,NA,231,0.36799703201661044,0.3177711822455807,0.5,1.2279307434568907e-10,6.099100728174539e-11,0,0
36,NA,234,0.36450470918103656,0.3100104648328682,0.5,1.2292141234474167e-10,6.245844396467343e-11,0,0
269,NA,240,0.35980394594152165,0.04956432429972304,0.75,1.8812077438780317e-10,6.646260054090589e-11,2,0
275,NA,243,0.3534531421724483,0.0354514270365161,0.75,6.153630358442223e-10,6.016021079380454e-11,9,0
218,NA,246,0.3388522898048652,0.0030050884419998126,0.75,9.81385218607437e-10,5.965307143195941e-11,34,1
23,NA,262,0.2877928416816136,0.3895396481681267,0.25,8.521432348142904e-9,5.956640815929526e-11,724,3
52,NA,266,0.2748822067276899,0.3608493482800821,0.25,2.3687697409576903e-11,1.6529537807726676e-11,0,0
39,NA,279,0.09878551688872783,0.21952337085137696,0,3.832013518606151e-9,5.608192151080868e-11,65,0
