catchment_poly_id,region,nbs_priority_rank,sv_nbs,corisk_score,service_deficit_std,access_nbs,scd_admissions,scd_deaths
163,NA,1,0.9335513132453273,0.9335513132453273,0.75,0,0,0
189,NA,2,0.9300259193195259,0.9300259193195259,0.75,0,0,0
170,NA,3,0.9268102498811326,0.9268102498811326,0.75,0,0,0
178,NA,4,0.9221189523545966,0.9221189523545966,0.75,0,0,0
174,NA,5,0.905290015601075,0.905290015601075,1,0,0,0
148,NA,6,0.8939851445719211,0.8939851445719211,1,0,0,0
188,NA,7,0.8927352469854866,0.8927352469854866,0.5,0,724,4
190,NA,8,0.8922218418944046,0.8922218418944046,1,0,0,0
164,NA,9,0.8871008412494894,0.8871008412494894,0.75,0,2371,11
123,NA,10,0.8827195153072018,0.8827195153072018,0.75,0,0,0
191,NA,11,0.869223556389303,0.869223556389303,0.75,0,0,0
175,NA,12,0.8514082845107305,0.8514082845107305,0.75,0,3698,26
115,NA,13,0.8356135191480458,0.8356135191480458,0.75,0,0,0
187,NA,14,0.8331455697423206,0.8331455697423206,0.75,0,0,0
177,NA,15,0.8322656477797696,0.8322656477797696,0.75,0,1818,3
149,NA,16,0.8191751174072883,0.8191751174072883,0.5,0,0,0
161,NA,17,0.8190055117773846,0.8190055117773846,0.75,0,39,0
160,NA,18,0.8187211695590787,0.8187211695590787,0.75,0,0,0
162,NA,19,0.8171083148679397,0.8171083148679397,0.75,0,4585,74
152,NA,20,0.8157007826096898,0.8157007826096898,0.75,0,0,0
92,NA,21,0.8054404221619227,0.8054404221619227,1,0,0,0
125,NA,22,0.778567973995747,0.778567973995747,0.75,0,307,3
101,NA,23,0.7751974467295566,0.7751974467295566,0.75,0,0,0
126,NA,24,0.774803379357127,0.774803379357127,1,0,0,0
79,NA,25,0.7682779772784709,0.7682779772784709,0.5,0,192,5
78,NA,26,0.7682099605215919,0.7682099605215919,1,0,0,0
83,NA,27,0.7645316337526917,0.7645316337526917,1,0,0,0
95,NA,28,0.7615150963173326,0.7615150963173326,0.75,0,78,3
111,NA,29,0.760990851367543,0.760990851367543,1,0,0,0
25,NA,30,0.7583559396452199,0.7583559396452199,1,0,0,0
176,NA,31,0.7565546734979465,0.7565546734979465,0.75,0,0,0
168,NA,32,0.7418731952395101,0.7418731952395101,1,0,0,0
135,NA,33,0.7403203373807847,0.7403203373807847,0.75,0,67,0
104,NA,34,0.7365575679609876,0.7365575679609876,1,0,0,0
107,NA,35,0.7344372904771233,0.7344372904771233,0.25,0,957,1
89,NA,36,0.7316973996669736,0.7316973996669736,0.5,0,0,0
98,NA,37,0.7294096161906987,0.7294096161906987,0.75,0,54,0
136,NA,38,0.725504935166519,0.725504935166519,0.75,0,1167,61
108,NA,39,0.7248463177562446,0.7248463177562446,0.75,0,0,0
131,NA,40,0.7223865209764031,0.7223865209764031,0.5,0,0,0
173,NA,41,0.7172576896385545,0.7172576896385545,0.75,0,0,0
124,NA,42,0.7076322134073321,0.7076322134073321,0.75,0,0,0
129,NA,43,0.7048884198048531,0.7048884198048531,0.75,0,579,11
90,NA,44,0.7024002580763025,0.7024002580763025,1,0,0,0
172,NA,45,0.6966198459290469,0.6966198459290469,1,0,0,0
127,NA,46,0.6795155216172297,0.6795155216172297,0.75,0,0,0
134,NA,47,0.6760233308416241,0.6760233308416241,1,0,0,0
109,NA,48,0.6754216758857193,0.6754216758857193,0.75,0,0,0
140,NA,49,0.6729824385886609,0.6729824385886609,0.75,0,57,2
94,NA,50,0.6726924418766224,0.6726924418766224,1,0,0,0
