catchment_poly_id,region,overall_priority_rank,overall_priority_tier,programme_priority_type,overall_priority_score,corisk_score,service_deficit_score,service_deficit_std,scd_admissions,scd_deaths,rr_admissions,rr_deaths
174,NA,1,Priority 1 (highest),Lower immediate priority,0.857380507022281,0.905290015601075,4,1,0,0,1.7287372998373084e-9,1.797147663111659e-11
148,NA,2,Priority 1 (highest),Lower immediate priority,0.8522933150633855,0.8939851445719211,4,1,0,0,1.500092194221888e-8,6.020827771740202e-11
190,NA,3,Priority 1 (highest),Lower immediate priority,0.8514998288613655,0.8922218418944046,4,1,0,0,3.263403517113307e-8,8.883445247126535e-11
92,NA,4,Priority 1 (highest),Lower immediate priority,0.8124481899757492,0.8054404221619227,4,1,0,0,1.6699473805130928e-9,2.883880686032983e-11
126,NA,5,Priority 1 (highest),Lower immediate priority,0.7986615207318506,0.774803379357127,4,1,0,0,1.0292016179834763e-8,2.1143459420779683e-10
78,NA,6,Priority 1 (highest),Lower immediate priority,0.7956944822357304,0.7682099605215919,4,1,0,0,1.8906889407468624e-10,1.0140845245472778e-11
83,NA,7,Priority 1 (highest),Lower immediate priority,0.7940392351898234,0.7645316337526917,4,1,0,0,1.78360200669197e-10,1.1121593042103924e-11
111,NA,8,Priority 1 (highest),Lower immediate priority,0.7924458831187764,0.760990851367543,4,1,0,0,4.413510203843347e-10,3.381965529457213e-11
25,NA,9,Priority 1 (highest),Lower immediate priority,0.791260172872178,0.7583559396452199,4,1,0,0,8.39827920833067e-8,3.1828966311203144e-10
168,NA,10,Priority 1 (highest),Lower immediate priority,0.7838429378930254,0.7418731952395101,4,1,0,0,8.703705120842279e-8,3.524578354327921e-10
104,NA,11,Priority 1 (highest),Lower immediate priority,0.7814509055843504,0.7365575679609876,4,1,0,0,3.121709982546558e-10,1.9059483321914915e-11
90,NA,12,Priority 1 (highest),Lower immediate priority,0.7660801161377331,0.7024002580763025,4,1,0,0,6.915928425797775e-10,3.3969131515023125e-11
172,NA,13,Priority 1 (highest),Lower immediate priority,0.7634789308041715,0.6966198459290469,4,1,0,0,9.224419103646442e-7,1.3610030837417557e-9
163,NA,14,Priority 1 (highest),Access strengthening priority,0.7575980909731004,0.9335513132453273,3,0.75,0,0,6.247595069592417e-9,1.2703099642185579e-10
189,NA,15,Priority 1 (highest),Access strengthening priority,0.7560116636955635,0.9300259193195259,3,0.75,0,0,2.1993134842652368e-10,1.7767770005506095e-11
170,NA,16,Priority 1 (highest),Access strengthening priority,0.7545646124524501,0.9268102498811326,3,0.75,0,0,1.799320329246629e-9,5.940308687670668e-11
134,NA,17,Priority 1 (highest),Lower immediate priority,0.7542104988979175,0.6760233308416241,4,1,0,0,7.315227187237345e-9,1.9186609358907372e-10
94,NA,18,Priority 1 (highest),Lower immediate priority,0.752711598852455,0.6726924418766224,4,1,0,0,1.9750658594113916e-9,7.974815458420971e-11
178,NA,19,Priority 1 (highest),Access strengthening priority,0.7524535285620029,0.9221189523545966,3,0.75,0,0,3.4213780867694775e-10,2.4343375579458818e-11
130,NA,20,Priority 1 (highest),Lower immediate priority,0.7515004929606303,0.6700010954284896,4,1,0,0,6.934716051306786e-9,1.7809893599374426e-10
93,NA,21,Priority 1 (highest),Lower immediate priority,0.7446330957301063,0.6547402127253656,4,1,0,0,4.445488808797854e-10,3.6917308387219346e-11
171,NA,22,Priority 1 (highest),Lower immediate priority,0.7424664290520733,0.6499253978851742,4,1,0,0,4.88974083737921e-10,3.7448200272187676e-11
